,北京,上海,天津,重庆,哈尔滨,长春,沈阳,呼和浩特,石家庄,太原,济南,郑州,西安,兰州,银川,西宁,乌鲁木齐,合肥,南京,杭州,长沙,南昌,武汉,成都,贵阳,福州,台北,广州,海口,南宁,昆明,拉萨,香港,澳门
成都,1520.881,1658.998,1520.553,266.406,2575.618,2373.438,2124.255,1326.497,1256.583,1117.8,1366.562,1010.377,604.7829,600.9627,877.3779,699.4344,2058.394,1262.67,1408.095,1539.633,905.8396,1158.719,981.9497,0,519.2965,1571.423,1821.031,1233.902,1289.078,969.3147,639.59,1245.978,1365.907,1329.753
贵阳,1734.504,1527.473,1703.463,328.4346,2769.201,2547.578,2279.289,1650.671,1466.156,1369.83,1481.327,1131.831,879.9212,1087.539,1307.173,1211.342,2571.237,1182.814,1322.136,1375.603,646.878,932.4362,870.8082,519.2965,0,1256.391,1492.013,763.9217,769.8022,451.8645,422.5141,1560.049,893.067,847.5222
福州,1558.67,610.9603,1466.287,1312.067,2282.804,2050.531,1791.079,1778.128,1404.085,1454.962,1193.16,1107.4571,350.311,840.663,1828.842,2032.392,3463.171,670.046,663.1695,468.9244,665.6123,445.4894,698.9261,1571.423,1256.391,0,250.2707,693.8886,1104.975,1168.133,1652.359,2786.933,669.2458,725.6823
台北,1717.031,687.5661,1619.53,1560.796,2347.2,2120.498,1874.235,1970.674,1589.439,1656.773,1357.785,1319.035,1590.199,2084.442,2059.141,2277.212,3704.332,860.9638,819.454,591.8502,915.2195,690.7056,937.4947,1821.031,1492.013,250.2707,0,865.6056,1251.954,1362.51,1877.957,3032.048,808.3829,871.0755
广州,1888.757,1213.345,1819.347,976.5033,2791.034,2556.097,2282.846,1970.951,1660.83,1639.548,1543.659,1297.991,1308.221,1699.242,1815.649,1862.868,3281.7,1048.057,1131.808,1045.011,562.0815,670.2574,839.2113,1233.902,763.9217,693.8886,865.6056,0,418.9726,504.7135,1074.474,2311.787,132.0054,108.258
海口,2233.36,1630.497,2173.356,1073.39,3178.006,2944.069,2669.509,2261.941,1988.394,1941.614,1905.669,1622.571,1535.829,1840.447,2019.708,1976.516,3335.924,1438.62,1534.551,1461.732,894.5838,1066.532,1193.265,1289.078,769.8022,1104.975,1251.954,418.9726,0,327.714,913.828,2177.627,443.7867,382.29
南宁,2049.949,1602.881,2001.665,769.9114,3041.984,2811.801,2537.633,2029.482,1791.871,1723.314,1749.132,1432.456,1276.215,1536.349,1738.378,1663.203,3009.488,1339.4,1457.184,1435.667,759.8751,998.1469,1054.325,969.3147,451.8645,1168.133,1362.51,504.7135,327.714,0,607.4305,1872.001,601.5721,540.0142
昆明,2086.071,1949.973,2067.168,620.9234,3135.954,2920.791,2657.843,1943.88,1815.985,1698.912,1865.577,1507.488,1183.466,1232.073,1516.845,1297.906,2506.937,1601.98,1742.67,1797.512,1067.803,1352.66,1289.806,639.59,422.5141,1652.359,913.828,607.4305,1877.957,1074.474,0,1265.67,1189.354,1132.143
拉萨,2563.215,2902.259,2597.221,1484.694,3558.081,3393.995,3183.151,2237.836,2335.794,2171.318,2517.584,2189.667,1746.558,1376.595,1689.395,1251.934,1602.93,2502.884,2646.99,2785.569,2128.162,2396.056,2227.892,1245.978,1560.049,2786.933,3032.048,2311.787,2177.627,1872.001,1265.67,0,2435.157,2382.184
香港,1969.048,1229.781,1895.365,1108.254,2842.829,2607.655,2336.249,2070.9,1749.693,1737.673,1616.994,1390.669,1426.415,1826.833,1935.364,1992.227,3412.954,1106.109,1176.247,1064.467,664.6166,729.9832,924.9568,1365.907,893.067,669.2458,808.3829,132.0054,443.7867,601.5721,1189.354,2435.15787,0,70.4
澳门,1987.348,1275.688,1916.042,1075.418,2875.874,2640.744,2368.418,2076.587,1762.759,1744.585,1638.988,1401.126,1416.452,1804.635,1923.742,1966.569,3381.744,1135.239,1211.507,1109.093,667.6091,757.4556,939.2745,1329.753,847.5222,725.6823,871.0755,108.258,382.29,540.0142,1132.143,2382.184,70.4,0
